2021-11-27 22:31:50,846 - epoch 39: Train loss=0.0031, Eval loss=0.0017, Max_err=0.6599, M1_err=0.2612, M2_err=0.2168
2021-11-27 22:32:48,804 - epoch 40: Train loss=0.0018, Eval loss=0.0017, Max_err=0.6547, M1_err=0.2618, M2_err=0.2179
2021-11-27 22:33:47,442 - epoch 41: Train loss=0.0012, Eval loss=0.0017, Max_err=0.6550, M1_err=0.2578, M2_err=0.2121
2021-11-27 22:34:40,907 - epoch 42: Train loss=0.0014, Eval loss=0.0017, Max_err=0.6560, M1_err=0.2576, M2_err=0.2128
2021-11-27 22:35:43,896 - epoch 43: Train loss=0.0028, Eval loss=0.0017, Max_err=0.6539, M1_err=0.2578, M2_err=0.2104
2021-11-27 22:36:46,345 - epoch 44: Train loss=0.0015, Eval loss=0.0017, Max_err=0.6552, M1_err=0.2550, M2_err=0.2088
2021-11-27 22:37:48,599 - epoch 45: Train loss=0.0014, Eval loss=0.0017, Max_err=0.6585, M1_err=0.2600, M2_err=0.2074
2021-11-27 22:38:48,816 - epoch 46: Train loss=0.0003, Eval loss=0.0017, Max_err=0.6510, M1_err=0.2574, M2_err=0.2061
2021-11-27 22:39:50,422 - epoch 47: Train loss=0.0006, Eval loss=0.0016, Max_err=0.6546, M1_err=0.2566, M2_err=0.2044
2021-11-27 22:40:50,635 - epoch 48: Train loss=0.0030, Eval loss=0.0016, Max_err=0.6502, M1_err=0.2592, M2_err=0.2053
2021-11-27 22:41:47,893 - epoch 49: Train loss=0.0010, Eval loss=0.0016, Max_err=0.6562, M1_err=0.2539, M2_err=0.2001
2021-11-27 22:42:45,492 - epoch 50: Train loss=0.0006, Eval loss=0.0016, Max_err=0.6549, M1_err=0.2551, M2_err=0.2010
2021-11-27 22:43:35,686 - epoch 51: Train loss=0.0038, Eval loss=0.0016, Max_err=0.6489, M1_err=0.2525, M2_err=0.1978
2021-11-27 22:44:28,893 - epoch 52: Train loss=0.0004, Eval loss=0.0016, Max_err=0.6495, M1_err=0.2530, M2_err=0.1956
2021-11-27 22:45:26,836 - epoch 53: Train loss=0.0008, Eval loss=0.0016, Max_err=0.6516, M1_err=0.2543, M2_err=0.1960
2021-11-27 22:46:26,629 - epoch 54: Train loss=0.0010, Eval loss=0.0016, Max_err=0.6523, M1_err=0.2558, M2_err=0.1948
2021-11-27 22:47:25,899 - epoch 55: Train loss=0.0014, Eval loss=0.0016, Max_err=0.6474, M1_err=0.2485, M2_err=0.1932
2021-11-27 22:48:21,427 - epoch 56: Train loss=0.0046, Eval loss=0.0016, Max_err=0.6455, M1_err=0.2482, M2_err=0.1905
2021-11-27 22:49:19,041 - epoch 57: Train loss=0.0029, Eval loss=0.0016, Max_err=0.6515, M1_err=0.2496, M2_err=0.1879
2021-11-27 22:50:17,358 - epoch 58: Train loss=0.0010, Eval loss=0.0016, Max_err=0.6470, M1_err=0.2473, M2_err=0.1860
2021-11-27 22:51:12,686 - epoch 59: Train loss=0.0013, Eval loss=0.0016, Max_err=0.6478, M1_err=0.2489, M2_err=0.1824
2021-11-27 22:52:14,638 - epoch 60: Train loss=0.0007, Eval loss=0.0016, Max_err=0.6458, M1_err=0.2503, M2_err=0.1820
2021-11-27 22:53:12,176 - epoch 61: Train loss=0.0027, Eval loss=0.0016, Max_err=0.6487, M1_err=0.2419, M2_err=0.1838
2021-11-27 22:54:14,171 - epoch 62: Train loss=0.0012, Eval loss=0.0016, Max_err=0.6460, M1_err=0.2484, M2_err=0.1843
2021-11-27 22:55:11,838 - epoch 63: Train loss=0.0022, Eval loss=0.0016, Max_err=0.6515, M1_err=0.2460, M2_err=0.1787
2021-11-27 22:56:12,182 - epoch 64: Train loss=0.0005, Eval loss=0.0015, Max_err=0.6512, M1_err=0.2443, M2_err=0.1752
2021-11-27 22:57:10,265 - epoch 65: Train loss=0.0012, Eval loss=0.0016, Max_err=0.6459, M1_err=0.2484, M2_err=0.1746
2021-11-27 22:58:10,362 - epoch 66: Train loss=0.0049, Eval loss=0.0015, Max_err=0.6498, M1_err=0.2463, M2_err=0.1740
2021-11-27 22:59:08,843 - epoch 67: Train loss=0.0010, Eval loss=0.0015, Max_err=0.6490, M1_err=0.2441, M2_err=0.1707
